home,away,1,2,x,result
Man Utd,Swansea,14,49,105,2
Leicester,Everton,32,34,25,X
QPR,Hull,25,33,33,2
Stoke,Aston Villa,21,34,42,2
West Brom,Sunderland,23,34,36,X
West Ham,Spurs,36,36,22,2
Arsenal,Crystal Palace,13,56,125,1
Liverpool,Southampton,15,49,86,1
Newcastle,Man City,63,43,16,2
Burnley,Chelsea,105,49,14,2
Aston Villa,Newcastle,24,31,38,X
Chelsea,Leicester,13,64,125,1
Crystal Palace,West Ham,25,33,33,2
Southampton,West Brom,20,37,42,X
Swansea,Burnley,19,35,53,1
Everton,Arsenal,30,35,26,X
Hull,Stoke,25,33,33,X
Spurs,QPR,15,45,90,1
Sunderland,Man Utd,46,39,19,X
Man City,Liverpool,21,36,40,1
Burnley,Man Utd,59,41,17,X
Man City,Stoke,13,70,150,2
Newcastle,Crystal Palace,18,35,60,X
QPR,Sunderland,26,35,30,1
Swansea,West Brom,19,38,48,1
West Ham,Southampton,26,35,30,2
Everton,Chelsea,40,35,22,2
Aston Villa,Hull,23,34,36,1
Spurs,Liverpool,27,36,28,2
Leicester,Arsenal,42,41,19,X
Arsenal,Man City,31,36,25,X
Chelsea,Swansea,13,62,132,1
Crystal Palace,Burnley,22,35,38,X
Southampton,Newcastle,20,35,48,1
Stoke,Leicester,22,34,40,2
Sunderland,Spurs,38,38,21,X
West Brom,Everton,36,35,23,2
Liverpool,Aston Villa,13,65,130,2
Man Utd,QPR,13,61,138,1
Hull,West Ham,22,35,38,X
QPR,Stoke,28,33,29,X
Aston Villa,Arsenal,49,39,19,2
Burnley,Sunderland,26,34,31,X
Newcastle,Hull,21,34,41,X
Swansea,Southampton,26,34,31,2
Spurs,West Brom,15,47,78,2
West Ham,Liverpool,54,39,18,1
Leicester,Man Utd,64,42,16,1
Everton,Crystal Palace,14,50,100,2
Man City,Chelsea,26,35,30,X
Liverpool,Everton,19,39,47,X
Chelsea,Aston Villa,13,69,150,1
Crystal Palace,Leicester,27,34,30,1
Hull,Man City,66,43,16,2
Man Utd,West Ham,14,57,96,1
Southampton,QPR,15,46,88,1
Sunderland,Swansea,28,34,28,X
Arsenal,Spurs,18,40,50,X
West Brom,Burnley,21,35,44,1
Stoke,Newcastle,22,35,39,1
Hull,Crystal Palace,21,36,41,1
Leicester,Burnley,18,38,54,X
Liverpool,West Brom,14,55,98,1
Sunderland,Stoke,26,33,32,1
Swansea,Newcastle,19,38,47,X
Aston Villa,Man City,75,45,15,2
Man Utd,Everton,18,41,50,1
Chelsea,Arsenal,17,41,58,1
Spurs,Southampton,22,36,37,1
West Ham,QPR,20,36,45,1
Man City,Spurs,15,48,82,1
Arsenal,Hull,14,53,95,X
Burnley,West Ham,28,35,28,2
Crystal Palace,Chelsea,100,51,14,2
Everton,Aston Villa,16,42,68,1
Newcastle,Leicester,23,37,35,1
Southampton,Sunderland,16,42,70,1
QPR,Liverpool,64,44,16,2
Stoke,Swansea,26,34,31,1
West Brom,Man Utd,51,41,18,X
West Ham,Man City,64,46,16,1
Liverpool,Hull,15,48,82,X
Southampton,Stoke,16,41,64,1
Sunderland,Arsenal,54,40,18,2
Spurs,Newcastle,18,39,52,2
West Brom,Crystal Palace,19,37,45,X
Swansea,Leicester,20,37,44,1
Burnley,Everton,47,38,19,2
Man Utd,Chelsea,30,36,25,X
QPR,Aston Villa,25,33,33,1
Newcastle,Liverpool,41,38,20,1
Arsenal,Burnley,13,66,140,1
Chelsea,QPR,12,88,220,1
Everton,Swansea,18,39,52,X
Hull,Southampton,38,35,22,2
Leicester,West Brom,23,36,35,2
Stoke,West Ham,23,35,35,X
Man City,Man Utd,19,40,44,1
Aston Villa,Spurs,37,35,22,2
Crystal Palace,Sunderland,22,35,39,2
Liverpool,Chelsea,37,36,22,2
Burnley,Hull,28,34,28,1
Man Utd,Crystal Palace,13,64,125,1
Southampton,Leicester,15,46,80,1
Spurs,Stoke,18,37,56,2
West Ham,Aston Villa,19,38,47,X
QPR,Man City,100,52,14,X
Sunderland,Everton,44,36,20,X
West Brom,Newcastle,24,36,32,2
Swansea,Arsenal,37,36,22,1
Chelsea,West Brom,13,66,140,1
Everton,West Ham,19,36,50,1
Leicester,Sunderland,23,35,35,X
Man City,Swansea,14,53,96,1
Newcastle,QPR,18,39,52,1
Stoke,Burnley,17,38,64,2
Arsenal,Man Utd,24,35,33,2
Crystal Palace,Liverpool,50,36,19,1
Hull,Spurs,35,35,23,2
Aston Villa,Southampton,50,36,19,X
West Brom,Arsenal,46,39,19,2
Burnley,Aston Villa,23,35,36,X
Liverpool,Stoke,17,40,60,1
Man Utd,Hull,13,60,125,1
QPR,Leicester,24,34,34,1
Swansea,Crystal Palace,18,38,53,X
West Ham,Newcastle,22,36,37,1
